Player,Team,Position,GP,MIN,Points,FGM,FGA,Shooting %,3PM,3PA,3 Point %,FTM,FTA,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,DD2,TD3,PER
Ivica Zubac,LAC,C,72,22.3,9,3.6,5.5,65.2,0,0.1,25,1.9,2.4,78.9,7.2,1.3,0.3,0.9,1.1,13,0,19.1
Enes Freedom,POR,C,72,24.4,11.2,4.7,7.8,60.4,0,0.1,25,1.8,2.3,77.4,11,1.2,0.5,0.7,1.1,34,0,22.48
Dwayne Bacon,ORL,SG,72,25.7,10.9,4.1,10.1,40.2,0.8,2.9,28.5,2,2.4,82.4,3.1,1.3,0.6,0.1,0.6,0,0,9.99
Justin Holiday,IND,SF,72,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,3.6,1.7,1,0.6,0.8,0,0,10.47
Bojan Bogdanovic,UTAH,SF,72,30.8,17,5.6,12.8,43.9,2.5,6.4,39,3.2,3.7,87.9,3.9,1.9,0.6,0.1,1.8,0,0,14.03
Duncan Robinson,MIA,SG,72,31.4,13.1,4.4,10,43.9,3.5,8.5,40.8,0.9,1,82.7,3.5,1.8,0.6,0.3,1.1,1,0,11.1
Anthony Edwards,MIN,SF,72,32.1,19.3,7,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,4.7,2.9,1.1,0.5,2.2,3,0,13.95
Mikal Bridges,PHX,SF,72,32.6,13.5,5,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84,4.3,2.1,1.1,0.9,0.8,2,0,16.45
Nikola Jokic,DEN,C,72,34.6,26.4,10.2,18,56.6,1.3,3.3,38.8,4.8,5.5,86.8,10.8,8.3,1.3,0.7,3.1,60,16,31.36
RJ Barrett,NY,SG,72,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,5.8,3,0.7,0.3,1.9,5,0,13.5
Solomon Hill,ATL,SF,71,21.3,4.5,1.5,4.2,35.9,1,3,32.1,0.5,0.6,76.1,3,1.1,0.7,0.2,0.6,0,0,6.71
Patrick Williams,CHI,PF,71,27.9,9.2,3.6,7.4,48.3,0.8,1.9,39.1,1.3,1.8,72.8,4.6,1.4,0.9,0.6,1.4,3,0,10.53
Eric Bledsoe,NO,SG,71,29.7,12.2,4.3,10.3,42.1,1.7,5,34.1,1.9,2.7,68.7,3.4,3.8,0.8,0.3,1.6,4,0,11.58
Rudy Gobert,UTAH,C,71,30.8,14.3,5.5,8.2,67.5,0,0.1,0,3.3,5.3,62.3,13.5,1.3,0.6,2.7,1.7,49,0,23.54
Royce O'Neale,UTAH,PF,71,31.5,7,2.5,5.5,44.4,1.5,3.9,38.5,0.5,0.6,84.8,6.8,2.5,0.8,0.5,1.2,3,0,9.88
Andrew Wiggins,GS,SF,71,33.3,18.6,7.1,14.9,47.7,2,5.2,38,2.4,3.4,71.4,4.9,2.4,0.9,1,1.8,3,0,15.05
Buddy Hield,SAC,SG,71,34.3,16.6,5.7,14,40.6,4,10.2,39.1,1.2,1.5,84.6,4.7,3.6,0.9,0.4,1.8,2,0,12.85
Julius Randle,NY,PF,71,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6,81.1,10.2,6,0.9,0.3,3.4,41,6,19.73
Brook Lopez,MIL,C,70,27.2,12.3,4.6,9.1,50.3,1.4,4,33.8,1.7,2,84.5,5,0.7,0.6,1.5,0.9,3,0,15.46
Saddiq Bey,DET,SF,70,27.3,12.2,4,9.9,40.4,2.5,6.6,38,1.8,2.1,84.4,4.5,1.4,0.7,0.2,0.9,3,0,12.64
Tim Hardaway Jr.,DAL,SF,70,28.4,16.6,5.8,13,44.7,3,7.6,39.1,2,2.5,81.6,3.3,1.8,0.4,0.2,0.9,0,0,15.73
Kelly Olynyk,HOU,PF,70,28.5,13.5,4.8,10,48.3,1.8,5.3,34.2,2.1,2.5,82.9,7,2.9,1.1,0.6,1.8,12,0,16.41
Jae'Sean Tate,HOU,SF,70,29.2,11.3,4.5,8.9,50.6,0.9,2.8,30.8,1.5,2.1,69.4,5.3,2.5,1.2,0.5,1.4,3,0,13.83
